Time;Date;IATA;Destination;Flight;Airline;Status
21:00;21.May;ASR;Kayseri;PC2740;Pegasus;Estimated 21:00
21:05;21.May;STN;London;PC1173;Pegasus  1;Estimated 21:05
21:30;21.May;ADB;Izmir;PC2208;Pegasus  1;Estimated 21:30
21:35;21.May;MCT;Muscat;PC870;Pegasus;Estimated 21:35
21:55;21.May;OGU;Gulyali;VF3286;AJet;Scheduled
22:00;21.May;OSS;Osh;PC710;Pegasus;Scheduled
22:05;21.May;ESB;Ankara;PC2676;Pegasus  1;Scheduled
22:15;21.May;AYT;Antalya;PC2026;Pegasus  1;Scheduled
22:15;21.May;CGN;Cologne;VF89;AJet;Scheduled
22:25;21.May;DXB;Dubai;FZ754;flydubai  1;Scheduled
22:25;21.May;SHJ;Sharjah;PC746;Pegasus;Scheduled
22:30;21.May;LGG;Liege;FX4725;FedEx;Scheduled
22:30;21.May;LEJ;Leipzig/Halle;MB9403;MNG Airlines;Scheduled
22:30;21.May;VKO;Moscow;PC386;Pegasus;Scheduled
22:30;21.May;AUH;Abu Dhabi;PC406;Pegasus;Scheduled
22:45;21.May;TZX;Trabzon;PC2830;Pegasus  1;Scheduled
22:45;21.May;SZF;Samsun;VF3310;AJet;Scheduled
22:50;21.May;DOH;Doha;PC604;Pegasus;Scheduled
22:45;21 May;SZF;Samsun;VF3310;AJet;Scheduled
22:50;21 May;DOH;Doha;PC604;Pegasus;Scheduled
23:00;17 May;FRU;Bishkek;PC702;Pegasus  1;Departed 23:33
23:00;17 May;GYD;Baku;VF179;AJet;Departed 23:29
23:00;17 May;GZT;Gaziantep;VF3232;AJet;Departed 23:19
23:05;17 May;OGU;Gulyali;B53286;BBN Airlines;Departed 23:35
23:05;17 May;HRG;Hurghada;PC620;Pegasus;Departed 23:37
23:05;17 May;OGU;Gulyali;VF3286;AJet;Estimated
23:10;17 May;IKA;Tehran;PC512;Pegasus;Departed 23:46
23:10;17 May;MED;Madinah;PC686;Pegasus  1;Departed 23:45
23:10;17 May;EBL;Erbil;PC816;Pegasus;Departed 23:40
23:10;17 May;ESB;Ankara;TS3008;Air Transat;Departed 23:43
23:10;17 May;ESB;Ankara;VF3008;AJet;Estimated
23:25;17 May;GYD;Baku;PC854;Pegasus;Departed 23:47
23:30;17 May;SSH;Sharm el Sheikh;PC634;Pegasus;Departed 23:54
23:30;17 May;AMM;Amman;PC720;Pegasus;Departed 00:12
23:35;17 May;HBE;Alexandria;PC628;Pegasus;Departed 00:05
23:35;17 May;BGW;Baghdad;PC656;Pegasus;Departed 23:58
23:35;17 May;MLX;Malatya;VF3260;AJet;Departed 00:47
23:40;17 May;ESB;Ankara;PC2676;Pegasus  1;Departed 00:09
23:45;17 May;ADB;Izmir;PC2212;Pegasus  1;Departed 00:18
23:45;17 May;TBZ;Tabriz;PC508;Pegasus;Departed 00:19
23:00;18 May;FRU;Bishkek;PC702;Pegasus  1;Departed 23:18
23:00;18 May;GYD;Baku;VF179;AJet;Departed 23:25
23:00;18 May;GZT;Gaziantep;VF3232;AJet;Departed 23:40
23:05;18 May;HRG;Hurghada;PC620;Pegasus;Departed 23:34
23:10;18 May;IKA;Tehran;PC512;Pegasus;Departed 23:42
23:10;18 May;MED;Madinah;PC686;Pegasus  1;Departed 23:45
23:10;18 May;EBL;Erbil;PC816;Pegasus;Departed 23:36
23:10;18 May;ESB;Ankara;VF3008;AJet;Departed 00:14
23:10;18 May;TZX;Trabzon;VF3324;AJet;Unknown
23:25;18 May;ADB;Izmir;PC2212;Pegasus  1;Departed 23:49
23:30;18 May;ASR;Kayseri;PC2748;Pegasus;Departed 23:57
23:30;18 May;EVN;Yerevan;PC550;Pegasus;Departed 00:10
23:30;18 May;AMM;Amman;PC720;Pegasus;Departed 00:05
23:35;18 May;BGW;Baghdad;PC656;Pegasus;Departed 23:59
23:45;18 May;EBL;Erbil;B5149;BBN Airlines;Departed 00:19
23:45;18 May;EBL;Erbil;VF149;AJet;Estimated
23:45;18 May;MLX;Malatya;VF3260;AJet;Departed 00:41
23:45;18 May;OGU;Gulyali;VF3286;AJet;Estimated 00:20
23:50;18 May;HRG;Hurghada;PC622;Pegasus;Departed 00:30
23:50;18 May;SPX;Giza;PC636;Pegasus;Departed 00:16
